State or Territory,Number With Current Asthma,Percent With Current Asthma (SE)
Alabama,394199,10.1 (0.62)
Alaska,49453,9.0 (0.58)
Arizona,519749,9.4 (0.39)
Arkansas,207857,9.0 (0.62)
California,2694396,8.8 (0.45)
Colorado,476932,10.4 (0.37)
Connecticut,300910,10.5 (0.48)
Delaware,77695,9.8 (0.69)
District of Columbia,64298,11.6 (0.82)
Georgia,772663,9.4 (0.51)
Hawaii,92849,8.1 (0.43)
Idaho,138516,9.8 (0.46)
Illinois,860395,8.7 (0.70)
Indiana,536397,10.3 (0.39)
Iowa,224466,9.1 (0.41)
Kansas,235953,10.6 (0.31)
Kentucky,408801,11.7 (0.59)
Louisiana,344842,9.7 (0.60)
Maine,138396,12.5 (0.47)
Maryland,451158,9.4 (0.35)
Massachusetts,661306,11.7 (0.52)
Michigan,908568,11.5 (0.45)
Minnesota,387219,8.8 (0.28)
Mississippi,226646,10.0 (0.67)
Missouri,449253,9.4 (0.42)
Montana,83698,9.7 (0.48)
Nebraska,122491,8.2 (0.33)
Nevada,223954,9.1 (0.80)
New Hampshire,136025,12.1 (0.60)
New Jersey,646963,8.9 (0.46)
New Mexico,173518,10.6 (0.53)
New York,1563485,9.8 (0.28)
North Carolina,717344,8.7 (0.51)
North Dakota,50012,8.4 (0.50)
Ohio,955568,10.4 (0.38)
Oklahoma,326087,10.9 (0.54)
Oregon,377851,11.2 (0.53)
Pennsylvania,1062292,10.3 (0.51)
Rhode Island,111498,12.6 (0.62)
South Carolina,372607,9.2 (0.45)
South Dakota,55927,8.3 (0.78)
Tennessee,558276,10.3 (0.59)
Texas,1854306,8.4 (0.45)
Utah,231080,9.7 (0.38)
Vermont,61465,11.8 (0.61)
Virginia,661945,9.8 (0.41)
Washington,641131,10.5 (0.36)
West Virginia,171141,12.1 (0.50)
Wisconsin,498228,10.8 (0.59)
Wyoming,43188,9.7 (0.67)
